town_name,company_info,Basic Service.Subscribers,Basic Service.Programming (received off-air),Basic Service.Programming (via satellite),Basic Service.Miles of plant,Basic Service.State manager,Basic Service.Manager,Basic Service.Ownership,Basic Service.Fee,Basic Service.Current originations,Basic Service.Local advertising,Basic Service.City fee,Basic Service.Tv Market Ranking,Basic Service.Equipment,Basic Service.Addressable homes,Basic Service.Program Guide,Basic Service.Chief technician,Digital Basic Service.Subscribers,Digital Basic Service.Pay units,Digital Basic Service.Programming (received off-air),Digital Basic Service.Programming (via satellite),Digital Basic Service.Miles of plant,Digital Basic Service.State manager,Digital Basic Service.Manager,Digital Basic Service.Ownership,Digital Basic Service.Fee,Digital Basic Service.Current originations,Digital Basic Service.Local advertising,Digital Basic Service.City fee,Digital Basic Service.Tv Market Ranking,Digital Basic Service.Equipment,Digital Basic Service.Addressable homes,Digital Basic Service.Program Guide,Digital Basic Service.Chief technician,Expanded Basic Service.Subscribers,Expanded Basic Service.Pay units,Expanded Basic Service.Programming (received off-air),Expanded Basic Service.Programming (via satellite),Expanded Basic Service.Miles of plant,Expanded Basic Service.State manager,Expanded Basic Service.Manager,Expanded Basic Service.Ownership,Expanded Basic Service.Fee,Expanded Basic Service.Current originations,Expanded Basic Service.Local advertising,Expanded Basic Service.City fee,Expanded Basic Service.Tv Market Ranking,Expanded Basic Service.Equipment,Expanded Basic Service.Addressable homes,Expanded Basic Service.Program Guide,Expanded Basic Service.Chief technician,Pay Service 1.Subscribers,Pay Service 1.Pay units,Pay Service 1.Programming (received off-air),Pay Service 1.Programming (via satellite),Pay Service 1.Miles of plant,Pay Service 1.State manager,Pay Service 1.Manager,Pay Service 1.Ownership,Pay Service 1.Fee,Pay Service 1.Current originations,Pay Service 1.Local advertising,Pay Service 1.City fee,Pay Service 1.Tv Market Ranking,Pay Service 1.Equipment,Pay Service 1.Addressable homes,Pay Service 1.Program Guide,Pay Service 1.Chief technician,Pay-Per-View.Subscribers,Pay-Per-View.Pay units,Pay-Per-View.Programming (received off-air),Pay-Per-View.Programming (via satellite),Pay-Per-View.Miles of plant,Pay-Per-View.State manager,Pay-Per-View.Manager,Pay-Per-View.Ownership,Pay-Per-View.Fee,Pay-Per-View.Current originations,Pay-Per-View.Local advertising,Pay-Per-View.City fee,Pay-Per-View.Tv Market Ranking,Pay-Per-View.Equipment,Pay-Per-View.Addressable homes,Pay-Per-View.Program Guide,Pay-Per-View.Chief technician,Pay Service 2.Subscribers,Pay Service 2.Pay units,Pay Service 2.Programming (received off-air),Pay Service 2.Programming (via satellite),Pay Service 2.Miles of plant,Pay Service 2.State manager,Pay Service 2.Manager,Pay Service 2.Ownership,Pay Service 2.Fee,Pay Service 2.Current originations,Pay Service 2.Local advertising,Pay Service 2.City fee,Pay Service 2.Tv Market Ranking,Pay Service 2.Equipment,Pay Service 2.Addressable homes,Pay Service 2.Program Guide,Pay Service 2.Chief technician,Pay Service 3.Subscribers,Pay Service 3.Pay units,Pay Service 3.Programming (received off-air),Pay Service 3.Programming (via satellite),Pay Service 3.Miles of plant,Pay Service 3.State manager,Pay Service 3.Manager,Pay Service 3.Ownership,Pay Service 3.Fee,Pay Service 3.Current originations,Pay Service 3.Local advertising,Pay Service 3.City fee,Pay Service 3.Tv Market Ranking,Pay Service 3.Equipment,Pay Service 3.Addressable homes,Pay Service 3.Program Guide,Pay Service 3.Chief technician,Pay Service 4.Subscribers,Pay Service 4.Pay units,Pay Service 4.Programming (received off-air),Pay Service 4.Programming (via satellite),Pay Service 4.Miles of plant,Pay Service 4.State manager,Pay Service 4.Manager,Pay Service 4.Ownership,Pay Service 4.Fee,Pay Service 4.Current originations,Pay Service 4.Local advertising,Pay Service 4.City fee,Pay Service 4.Tv Market Ranking,Pay Service 4.Equipment,Pay Service 4.Addressable homes,Pay Service 4.Program Guide,Pay Service 4.Chief technician,Pay Service 5.Subscribers,Pay Service 5.Pay units,Pay Service 5.Programming (received off-air),Pay Service 5.Programming (via satellite),Pay Service 5.Miles of plant,Pay Service 5.State manager,Pay Service 5.Manager,Pay Service 5.Ownership,Pay Service 5.Fee,Pay Service 5.Current originations,Pay Service 5.Local advertising,Pay Service 5.City fee,Pay Service 5.Tv Market Ranking,Pay Service 5.Equipment,Pay Service 5.Addressable homes,Pay Service 5.Program Guide,Pay Service 5.Chief technician,Pay Service 6.Subscribers,Pay Service 6.Pay units,Pay Service 6.Programming (received off-air),Pay Service 6.Programming (via satellite),Pay Service 6.Miles of plant,Pay Service 6.State manager,Pay Service 6.Manager,Pay Service 6.Ownership,Pay Service 6.Fee,Pay Service 6.Current originations,Pay Service 6.Local advertising,Pay Service 6.City fee,Pay Service 6.Tv Market Ranking,Pay Service 6.Equipment,Pay Service 6.Addressable homes,Pay Service 6.Program Guide,Pay Service 6.Chief technician,Pay Service 7.Subscribers,Pay Service 7.Pay units,Pay Service 7.Programming (received off-air),Pay Service 7.Programming (via satellite),Pay Service 7.Miles of plant,Pay Service 7.State manager,Pay Service 7.Manager,Pay Service 7.Ownership,Pay Service 7.Fee,Pay Service 7.Current originations,Pay Service 7.Local advertising,Pay Service 7.City fee,Pay Service 7.Tv Market Ranking,Pay Service 7.Equipment,Pay Service 7.Addressable homes,Pay Service 7.Program Guide,Pay Service 7.Chief technician,Pay Service 8.Subscribers,Pay Service 8.Pay units,Pay Service 8.Programming (received off-air),Pay Service 8.Programming (via satellite),Pay Service 8.Miles of plant,Pay Service 8.State manager,Pay Service 8.Manager,Pay Service 8.Ownership,Pay Service 8.Fee,Pay Service 8.Current originations,Pay Service 8.Local advertising,Pay Service 8.City fee,Pay Service 8.Tv Market Ranking,Pay Service 8.Equipment,Pay Service 8.Addressable homes,Pay Service 8.Program Guide,Pay Service 8.Chief technician,Pay Service 9.Subscribers,Pay Service 9.Pay units,Pay Service 9.Programming (received off-air),Pay Service 9.Programming (via satellite),Pay Service 9.Miles of plant,Pay Service 9.State manager,Pay Service 9.Manager,Pay Service 9.Ownership,Pay Service 9.Fee,Pay Service 9.Current originations,Pay Service 9.Local advertising,Pay Service 9.City fee,Pay Service 9.Tv Market Ranking,Pay Service 9.Equipment,Pay Service 9.Addressable homes,Pay Service 9.Program Guide,Pay Service 9.Chief technician,Pay Service 10.Subscribers,Pay Service 10.Pay units,Pay Service 10.Programming (received off-air),Pay Service 10.Programming (via satellite),Pay Service 10.Miles of plant,Pay Service 10.State manager,Pay Service 10.Manager,Pay Service 10.Ownership,Pay Service 10.Fee,Pay Service 10.Current originations,Pay Service 10.Local advertising,Pay Service 10.City fee,Pay Service 10.Tv Market Ranking,Pay Service 10.Equipment,Pay Service 10.Addressable homes,Pay Service 10.Program Guide,Pay Service 10.Chief technician,Internet Service.Subscribers,Internet Service.Pay units,Internet Service.Programming (received off-air),Internet Service.Programming (via satellite),Internet Service.Miles of plant,Internet Service.State manager,Internet Service.Manager,Internet Service.Ownership,Internet Service.Fee,Internet Service.Current originations,Internet Service.Local advertising,Internet Service.City fee,Internet Service.Tv Market Ranking,Internet Service.Equipment,Internet Service.Addressable homes,Internet Service.Program Guide,Internet Service.Chief technician,
ABBEVILLE,Galaxy Cablevision. Box 1007. Sikeston. MO 63801-0008. Phone: 800-365-6988. Fax: 334-693-2291. Web Site: http://www.galaxy.com. County: Henry. Also serves Henry Courrty (portions). ICA: AL0161. TV Market Ranking: Below 100. Franchise award date: N.A. Franchise expiration date: December 5.2009. Began: N.A. Channel capacity: 38 (not 2-way capable). Channels available but not In use: None.,1038,WLTZ (N). WRBL (C). WTVM (A) Columbus: WDHN (A). wrVY (C) Dothan: WDIQ (P) Dozier: WDFX-TV(F) Ozark,Nick at Nite.,45.0 (coaxial): None (fiber optic). Homes passed: 1.544.,Galaxy Cablevision (MSO).,Galaxy Cablevision (MSO).,Galaxy Cablevision (MSO).,$35.00 installation: $27.95 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERNANT,Twin County Cable TV Inc.. Box 483. McCalla. AL 35111. Phone: 205-477-6210. Counties: Jefferson & Tuscaloosa. Also sen/es Bucksville. Jefferson County (southern portion). Million Dollar Lake. Tuscaloosa County (portions). ICA: AL0113. TV Market Ranking: 40 (Abemant. Bucksville. Jefferson County. Tuscaloosa County); Below 100 (Million Dollar Lake). Franchise award date: N.A. Franchise expiration date: N.A. Began: December 28.1988. Channel capacity: 54 (2-way capable). Channels available but not In use: N.A.,970,WABM (U). WBIO (P). WBRC (F). WIAT (C). WnO (I). WVTM-TV (N) Bimilngham: WCFT-TV (C) Tuscaloosa,WGN-TV (I) Chicago: A & E: American Movie Classics: Animal Planet: C-SPAN: CNN: Cartoon Network: Country Music TV: Discovery Channel: Disney Channel: ESPN: ESPN 2: FX: Fox Family Channel: Fox News Channel: Fox Sports Net South: Golf Channel: Headline News: History Channel: Home & Garden Television: Home Shopping Network: Learning Channel: Lifetime: National Network: Nick at Nite's TV Land: Nickelodeon: Odyssey: Outdoor Life Network: Pax Net: Romance Classics: Scl-FI Channel: Speedvision: TBS Superstatlon: The Inspirational Network: The Weather Channel: Toon Disney: Trinity Bcstg. Network: Turner Classic Movies: Turner Network TV: Turner South: USA Cable: WebMD Television.,,,,,$40.00 Installation: $33.00 monthly.,Automated time-weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,Cinemax: HBO.,,,,,$10.00 monthly (Cinemax or HBO).,,,,,,,,,,,,,53.0 (coaxial): None (fiber optic). Homes passed: 1.450.,,William H. Gamer.,William H. Gamer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDISON,SunTel Communications. Suite B. 3291 Racquet Club Or. Traverse City. Ml 49684. Phone: 231-932-7113. Fax: 231-932-7491. County: Winston. Also serves Winston County (eastern portion). ICA: AL0162. TV Market Ranking: 96. Franchise award date: January 1.1988. Franchise expiration date: N.A. Began: Febmary 1.1990. Channel capacity: 42. Channels available but not in use: 19.,196,WBIQ (P). WBRC (F). WHO (I). WVTM-TV (N) Birmingham: WAAY-TV (A). WHNT-TV (C) Huntsville-Decatur: WCFT-TV (C) Tuscaloosa,American Movie Classics: CNN: Discovery Channel: ESPN: Fox News Channel: National Network: TBS Superstatlon: The Weather Channel: Turner Networi( TV.,,,,,$25.00 installation: $16.75 monthly: $3.00 converter.,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,WGN-TV (I) Chicago: Fox Family Channel: Fox Sports Net South: Learning Channel: Turner Classic Movies: USA Cable.,,,,,$5.00 monthly.,,,,,,,,,,46,,Cinemax.,22.0 (coaxial).,,Ray Trice.,SunTel Communications LLC (MSO). Purchased from A. D.,$10.00 Installation: $9.00 monthly.,,,,,,,,Ray Trice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKRON,CableSouth Inc.. Box 6003. RIdgeland. MS 39158. Phone: 601-981-6900. Fax: 601-981-0445. E-mail: cablesouth @aol.com. County: Hale. ICA: AL0163. TV Market Ranking: Below 100. Franchise award date: N.A. Franchise expiration date: N.A. Began: March 1.1989. Channel capacity: N.A. Channels available but not In use: N.A.,84,WDBB (F) Bessemer: WBRC (F). WIAT (C). VI/VTM-TV (N) Birmingham: WHO (P) Demopolis: WCFT-TV (C) Tuscaloosa,WGN-TV (I) Chicago: BET: CNN: Discovery Channel: ESPN: Lifetime: National Network: Nick at Nite's TV Land: Style: TBS Superstatlon: The Weather Channel: Trinity Bcstg. Network: Turner Network TV: USA Cable.,,,,,$11.95 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,Cinemax: HBO.,,,CableSouth Inc. (MSO).,CableSouth Inc. (MSO).,$10.00 monthly (each).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERTVILLE,Charter Communicatnns Inc.. Box 1185. 904 Rose Rd.. Albertville. AL 35950. Phones: 256-878-3802; 800-239-5111. Fax: 256-878-8287. Web Site: http://www. chartercom com. Counties: DeKalb. Etowah & Marshall. Also sen/es Arab. Boaz. Crossville. DeKalb County (southwestern portion). Douglas. Etowah County (portions). Geraldlne. Lakevlew. Marshall County (portions). Mountainboro. Sardls City. Union Grove. ICA: AL0014. TV Mari<et Ranking: 96 (Arab. Marshall County. Union Grove); Below 100 (Albertville. Boaz. Crossville. DeKalb County. Douglas. Etowah County. Geraldine. Lakevlew. Marshall County. Mountainboro. Sardls City). Franchise award date: N.A. Franchise expiration date: February 17.2003. Began: November 1.1964. Channel capacity: 56 (not 2-way capable). Channels available but not in use: None.,16921,WBRC (F). WIAT (C). WVTM-TV (N) Birmingham: WTJP (T) Gadsden: WAAY-TV (A). WAFF (N). WHIQ (P). WHNT-TV (C). WZDX (F) Huntsville-Decatur: WCIQ (P) Mount Cheaha State Pari<,WGN-TV (I) Chicago: TBS Superstatlon.,,,,,$25.00 Installation: $11.45 monthly.,Public access: local sports.,,,,,,,,NA,,,BBC America: DIY (Do It Yourself): Discovery Digital Net-wori«: Discovery en Espanol: History Channel: Independent Film Channel: Lifetime Movie Netoori<: Outdoor Life Network The Biography Channel.,,,,,$7.95 monthly: $8.95 converter,,,,,,,,,15568,,,A & E: American Movie Classics: C-SPAN: CNBC: CNN: Cartoon Networi<: Comedy Central: Country Music TV: Discovery Channel: Disney Channel: ESPN: ESPN 2: Fox Family Channel: Fox Sports Net South: Headline News: History Channel: Home & Garden Television: Home Shopping Network Learning Channel: Lifetime: MTV: National Network: Nick at Nite's TV Land: Nickelodeon: Pax Net: QVC: Romance Classics: Sci-Fi Channel: Speedvision: TV Guide Channel: The Weather Channel: Turner Classic Movies: Turner Network TV: USA Cable: Univision: VH1.,,,,,$17.90 monthly.,,,,,,,,,,1.633,,Cinemax.,,,,,$11.95 monthly.,,,,,,,,,,,,,,,,,,,,,,,2.040. Hot Choice: Hot Choice delivered digitally: IN DEMAND delivered digitally: Playboy TV: Playboy TV delivered digitally: Spice delivered digitally: Spice2 delivered digitally.,,,,3.278,,Showtime.,,,,,$11.95 monthly.,,,,,,,,,,2.255,,HBO.,,,,,$11.95 monthly.,,,,,,,,,,N.A,,The Movie Channel.,,,,,$11.95 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER CITY,Charter Communications Inc.. Box 687.1602 Tallapoosa St.. Alexander City. AL 35010. Phone: 205-234-3456. Fax: 205-329-0716. Web site: http://www. chartercom.com. Counties: Clay. Coosa. Talladega & Tallapoosa. Also serves Clay County. Coosa County. Goodwater. Jackson Gap. New Site. Rockford. Talladega County (southem portion). Tallapoosa County. ICA: AL0164. TV Market Ranking: 40 (portions of Talladega County); Below 100 (portions of Clay County. portions of Coosa County. Jackson Gap. New Site. portions of Tallapoosa County); Outside TV Markets (Alexander City. portions of Clay County. portions of Coosa County. Goodwater. Rockford. portions of Talladega County. portions of Tallapoosa County). Franchise award date: May 1. 1963. Franchise expiration date: N.A. Began: Julyl. 1974. Channel capacity: 44. Channels available but not In use: None.,12321,WBRC (F). WHO (1) Birmingham: WAKA (C). WCOV-TV (F). WMCF-TV (T). WNCF (A). WSFA (N) Montgomeiy-Selma: WCIQ (P) Mount Cheaha State Pari<,WGN-TV (I) Chicago: A & E: American Movie Classics: BET: C-SPAN: C-SPAN 2: CNBC: CNN: Country Music TV: Discovery Channel: ESPN: ESPN 2: Fox Family Channel: Fox Sports Net South: Headline News: History Channel: Home & Garden Television: Home Shopping Network: Learning Channel: Lifetime: MTV: National Network: Nick at Nite's TV Land: Nickelodeon: TBS Super-station: The Inspirational Network: The Weather Channel: Turner Network TV: USA Cable: VH1.,,,,,$28.95 monthly.,Publk: access: gov-emment access: local sports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,Disney Channel: Flix: HBO: Showtime: The Movie Channel.,,,,,$25.00 Installation: $7.95 monthly (Disney). $9.95 monthly (Showtime or TMC). $11.95 monthly (HBO).,,,,,,,,,,,,,560.0 (coaxial): 30.0 (fiber optic). Additional miles planned: 4.0 (coaxial). Homes passed: 18.496.,,Ray Carr.,Charter Communications Inc. (MSO).,,,Yes. Available in locally originated. taped & automated programming. Local sales,3% of gross.,,Scientific-Atlanta & Jerrold headend: Scientific-Atlanta. Texscan & Magnavox amplifiers: Times Fiber & Comm/ Scope cable: Panasonic & Scientific-Atlanta set top converters: Arcom & Eagle traps: Scientific-Atlanta satellite antenna: Scientific-Atlanta satellite receivers: Sony commercial Insert.,,,Mac McKenzie. Marketing director: Laurie Nicholson.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALICEVILLE,Northland Communications Corp.. Box 369. Allceville. AL 35442. Phone: 205-373-8702. Fax: 205-373-8704. County: Pickens. Also serves Carrollton. Gordo. Pickens County (southem portion). Pickens-ville. Refomi. ICA: AL0055. TV Market Ranking: Below 100 (Allceville. Carrollton. Gordo. portions of Pickens County. Pickensville. Reform); Outside TV Markets (portions of Pickens County). Franchise award date: N.A. Franchise expiration date: N.A. Began: May 1.1971. Channel capacity: 34 (2-way capable; not operating 2-way). Channels available but not in use: N.A.,2371,WDBB (F) Bessemer WBIQ (P). WBRC (F). WVTM-TV (N) BInnlngham: WCBI-TV (C) Colum-bus-Tupelo: WLOV-TV (F) Tupelo: WCR-TV (C) Tuscaloosa,TBS Super-station.,,,,,$40.00 Installation: $15.00 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,WTVA (N) Columbus-Tupelo,WGN-TV (I) Chicago: American Movie Classics: BET: C-SPAN: Cartoon Network: Country Music TV: Discovery Channel: ESPN: Fox Family Channel: Fox Sports Net Direct: Headline News: National Network: Nickelodeon: QVC: TBS Superstatlon: The Weather Channel: Trinity Bcstg. Network: Turner Classic Movies: Turner Network TV: USA Cable.,,,,,$40.00 Installation: $24.95 monthly.,,,,,,,,,,N.A,,Cinemax: Disney Channel: HBO: Showtime.,,,,,$20.95 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0 (coaxial): 36.0 (fiber optic). Homes passed: 3.000.,,Northland Communications Corp. (MSO).,Northland Communications Corp. (MSO).,,,Yes. Rates: $50.00/Minute: $35.00/30 Seconds.,,,Scientific-Atlanta headend: C-COR amplifiers: Times Fiber cable: Sclentiflc-At-lanta satellite antenna: Scientific-Atlanta satellite receivers.,,,,
ALLGOOD,SouthTel Communications LP. Suite 202. 2444 Solomons Island Rd.. Annapolis. MD 21401. Phone: 410-266-9393. Fax: 410-266-9393. County: Blount. ICA:AL0165. TV Market Ranking: 40. Franchise award date: N.A. Franchise explratkin date; N.A. Began: Febmary 1.1989. Channel capacity: N.A. Channels available but not In use: N.A.,1414,WBIQ (P). WBRC (F). WIAT (C). WHO (I). WVTM-TV (N) Birmingham: WZDX (F) Huntsville-Decatur WCFT-TV (C) Tuscaloosa,WGN-TV (I) Chicago: A & E: Animal Planet: C-SPAN: C-SPAN 2: CNBC: CNN: Counhv Music TV: Discovery Channel: ESPN: Fox Family Channel: Headline News: Home Shopping Network: Learning Channel: MTV: National Network: Nickelodeon: Odyssey: QVC: TBS Superstatlon: The Weather Channel: Trinity Bcstg. Network: Turner Classic Movies: Turner Network TV: USA Cable: VH1.,,,,,$27.78 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,Cinemax: HBO: Showtime.,,,Bay Cable Inc. (MSO).,Bay Cable Inc. (MSO).,N.A. General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTOONA,Charter Communications. 303 Main St.. Cedartown. GA 30125. Phone: 770-748-7052. Web Site: http://www.chartercom. com. County: Etowah. Also serves Walnut Grove. ICA:AL0231. TV Market Ranking: Below 100. Franchise award date: N.A. Franchise expiration date: N.A. Began: N.A. Channel capacity: 34. Channels available but not In use: 2.,610,WBIQ (P). WBRC (F). WIAT (C). WHO (I). WVTM-TV (N) Birmingham: WTJP (T) Gadsden: WAAY-TV (A). WAFF (N). WZDX (F) Huntsville-Decatu,Bravo: C-SPAN: CNN: ESPN: Fox Sports Net South: Lifetime: MTV: Nickelodeon: QVC: TBS Superstatlon: The Weather Channel: Turner Network TV.,,,,,$17.54 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,American Movie Classics: Country Music TV: Discovery Channel: Food Network: National Network: USA Cable.,,,,,$4.19 monthly.,,,,,,,,,,98,,HBO.,,,,,$11.95 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,The Movie Channel.,33.0 (coaxial).,,Daryl Bunn. Franchise fee: 3% of gross.,Charter Communications Inc. (MSO). Purchased from Falcon Communications LP.,$10.95 monthly.,,,,,,,,Daryl Bunn. Franchise fee: 3% of gross.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDALUSIA,TV Cable Co. of Andalusia Inc.. Box 34.213 Dunson St.. Andalusia. AL 36420-3705. Phone: 334-222-6464. Fax: 334-222-7226. County: Covington. ICA: AL0043. TV Market Ranking: Outside TV Markets. Franchise award date: January 1.1963. Franchise expiration date: September 1. 2017. Began: March 1.1965. Channel capacity: 40 (not 2-way capable). Channels available but not in use: 4.,4250,WDHN (A). WTVY (C) Dothan: WDIQ (P) Dozier: WEAR-TV (A) Moblle-Pensacola: WAKA (C). WSFA (N) Montgomery-Selma: 1FM,WGN-TV (I) Chicago: A & E: BET: C-SPAN: CNBC: CNN: Country Music TV: Discovery Channel: ESPN: Fox Family Channel: Headline News: Learning Channel: Lifetime: MTV: National Network: Nickelodeon: Odyssey: TBS Superstatlon: The Weather Channel: Turner Network TV: USA Cable.,,,,,$20.00 Installatran: $14.00 monthly.,Automated time-weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.181,,Disney Channel.,,,,,$15.00 installation: $8.00 monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,N.A,,HBO: Showtime.,125.0 (coaxial). Homes passed: 4.300. Total homes In franchised area: 4.400.,,Darrell Mitchell.,TV Cable Co. of Andalusia Inc.,$15.00 installation: $10.00 monthly (each).,,No.,$125 annually.,,Jerrold & Scientific-Atlanta headend: Jenx)ld amplifiers: Comni/Scope cable: MSI character generator: Eagle traps.,,,Darrell Mitchell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
